Participant ID,La,legge,"siciliana,",che
Sofiiiiiii <3,478,584,595,503
giulia,460,520,870,430
Giada ,733,800,784,
Gina,326,276,355,446
giorgia,421,438,404,484
Maria,234,228,206,180
Nicola,592,443,592,389
Gaia,386,470,492,469
letizia,558,454,596,435
Lea,544,707,751,833
Clarissa,446,578,859,642
Cloe,350,539,697,348
Average,460.6666666666667,503.0833333333333,600.0833333333334,469.0
Min,234.0,228.0,206.0,180.0
Max,733.0,800.0,870.0,833.0
